Time,Output,Control
2.00,9.71774,5.83132
2.01,9.71776,5.83134
2.02,9.71777,5.83135
2.03,9.71779,5.83135
2.04,9.71780,5.83136
2.05,9.71781,5.83138
2.06,9.71783,5.83137
2.07,9.71784,5.83139
2.08,9.71785,5.83138
2.09,9.71787,5.83140
2.10,9.71788,5.83142
2.11,9.71790,5.83141
2.12,9.71791,5.83143
2.13,9.71792,5.83144
2.14,9.71794,5.83144
2.15,9.71795,5.83145
2.16,9.71796,5.83147
2.17,9.71798,5.83146
2.18,9.71799,5.83148
2.19,9.71801,5.83149
2.20,9.71802,5.83149
2.21,9.71803,5.83150
2.22,9.71805,5.83150
2.23,9.71806,5.83151
2.24,9.71807,5.83153
2.25,9.71809,5.83152
2.26,9.71810,5.83154
2.27,9.71811,5.83156
2.28,9.71813,5.83155
2.29,9.71814,5.83157
2.30,9.71816,5.83158
2.31,9.71817,5.83158
2.32,9.71818,5.83159
2.33,9.71820,5.83161
2.34,9.71821,5.83160
2.35,9.71822,5.83162
2.36,9.71824,5.83163
2.37,9.71825,5.83163
2.38,9.71826,5.83164
2.39,9.71828,5.83166
2.40,9.71829,5.83165
2.41,9.71831,5.83167
2.42,9.71832,5.83168
2.43,9.71833,5.83168
2.44,9.71835,5.83169
2.45,9.71836,5.83169
2.46,9.71837,5.83170
2.47,9.71839,5.83172
2.48,9.71840,5.83171
2.49,9.71842,5.83173
2.50,9.71843,5.83174
2.51,9.71844,5.83174
2.52,9.71846,5.83175
2.53,9.71847,5.83177
2.54,9.71848,5.83176
2.55,9.71850,5.83178
2.56,9.71851,5.83179
2.57,9.71852,5.83178
2.58,9.71854,5.83180
2.59,9.71855,5.83181
2.60,9.71857,5.83183
2.61,9.71858,5.83182
2.62,9.71859,5.83184
2.63,9.71861,5.83185
2.64,9.71862,5.83185
2.65,9.71863,5.83186
2.66,9.71865,5.83188
2.67,9.71866,5.83187
2.68,9.71867,5.83189
2.69,9.71869,5.83190
2.70,9.71870,5.83189
2.71,9.71872,5.83191
2.72,9.71873,5.83192
2.73,9.71874,5.83192
2.74,9.71876,5.83193
2.75,9.71877,5.83195
2.76,9.71878,5.83194
2.77,9.71880,5.83196
2.78,9.71881,5.83197
2.79,9.71883,5.83197
2.80,9.71884,5.83198
2.81,9.71885,5.83199
2.82,9.71887,5.83201
2.83,9.71888,5.83200
2.84,9.71889,5.83202
2.85,9.71891,5.83203
2.86,9.71892,5.83203
2.87,9.71893,5.83204
2.88,9.71895,5.83206
2.89,9.71896,5.83205
2.90,9.71898,5.83206
2.91,9.71899,5.83208
2.92,9.71900,5.83207
2.93,9.71902,5.83209
2.94,9.71903,5.83210
2.95,9.71904,5.83211
2.96,9.71906,5.83211
2.97,9.71907,5.83212
2.98,9.71908,5.83214
2.99,9.71910,5.83213
3.00,9.71911,5.83215
3.01,9.71913,5.83216
3.02,9.71914,5.83215
3.03,9.71915,5.83217
3.04,9.71917,5.83218
3.05,9.71918,5.83220
3.06,9.71919,5.83219
3.07,9.71921,5.83220
3.08,9.71922,5.83222
3.09,9.71923,5.83221
3.10,9.71925,5.83223
3.11,9.71926,5.83224
3.12,9.71928,5.83223
3.13,9.71929,5.83225
3.14,9.71930,5.83226
3.15,9.71932,5.83228
3.16,9.71933,5.83227
3.17,9.71934,5.83228
3.18,9.71936,5.83230
3.19,9.71937,5.83229
3.20,9.71938,5.83231
3.21,9.71940,5.83232
